date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2020-06-08,0,0,0,0,0,48000,844800,2889600,5366400,7488000,8880000,9676800,9993600,9676800,8870400,7420800,5395200,2985600,912000,96000,0,0,0,0
2020-06-09,0,0,0,0,0,48000,777600,2745600,5251200,7344000,8832000,9859200,10195200,10080000,7766400,7036800,6086400,3033600,643200,86400,0,0,0,0
2020-06-10,0,0,0,0,0,28800,700800,2736000,5222400,7488000,9100800,8870400,6873600,3571200,3225600,979200,777600,806400,489600,9600,0,0,0,0
2020-06-11,0,0,0,0,0,0,96000,326400,1564800,2707200,3369600,5961600,6470400,5414400,6230400,5654400,5587200,3081600,1065600,105600,0,0,0,0
2020-06-12,0,0,0,0,0,0,480000,912000,1075200,1545600,2572800,4742400,7200000,5808000,7689600,4819200,3504000,1113600,201600,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,57600,403200,777600,1564800,1315200,2160000,2092800,2880000,2217600,1171200,441600,537600,9600,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,9600,9600,124800,1555200,3427200,2937600,2016000,2889600,2822400,4771200,5155200,2332800,960000,96000,0,0,0,0
2020-06-15,0,0,0,0,0,67200,806400,2438400,5011200,7776000,7267200,10214400,10656000,10464000,9686400,8217600,5606400,3331200,1046400,96000,0,0,0,0
2020-06-16,0,0,0,0,0,172800,1084800,2323200,3811200,6134400,8304000,9091200,9888000,9264000,8236800,7948800,5702400,3004800,1104000,124800,0,0,0,0
2020-06-17,0,0,0,0,0,0,556800,2409600,3705600,4848000,4425600,3148800,3859200,5145600,3753600,2793600,1977600,614400,211200,9600,0,0,0,0
2020-06-18,0,0,0,0,0,0,9600,249600,556800,1459200,633600,844800,1468800,1536000,1507200,988800,556800,643200,345600,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,240000,1123200,3878400,5097600,8649600,9072000,8928000,7564800,7996800,7468800,4944000,2841600,1017600,115200,0,0,0,0
2020-06-20,0,0,0,0,0,19200,547200,1910400,4982400,7161600,8524800,9283200,9072000,8400000,5750400,2976000,4780800,2208000,969600,182400,0,0,0,0
2020-06-21,0,0,0,0,0,38400,739200,2572800,5020800,7209600,8332800,6480000,9984000,8054400,8659200,7468800,3648000,1785600,1056000,153600,0,0,0,0
2020-06-22,0,0,0,0,0,38400,739200,2236800,3552000,4752000,7987200,9427200,9840000,9648000,8956800,7680000,5779200,2707200,1008000,115200,0,0,0,0
2020-06-23,0,0,0,0,0,28800,864000,3100800,5606400,6854400,8812800,9398400,10300800,9110400,8620800,6316800,2822400,1392000,748800,57600,0,0,0,0
2020-06-24,0,0,0,0,0,0,96000,326400,480000,2592000,508800,835200,1248000,1401600,691200,480000,883200,1036800,355200,0,0,0,0,0
2020-06-25,0,0,0,0,0,0,67200,902400,1392000,2198400,2688000,3926400,4128000,5500800,3849600,3225600,2668800,816000,403200,28800,0,0,0,0
